rank,before,after,score,review_label,review_reason
21,01529,01530,0.193316542,boundary_high_confidence,"woodland pedestrian scene changes to open grass/field context"
22,03028,03029,0.191674612,uncertain_motion,"urban-building road changes to truck-dominated road; could be one driving sequence"
23,02624,02625,0.191596307,uncertain_motion,"open urban road changes to tunnel/truck context; possible continuous route"
24,03080,03081,0.190714650,uncertain_motion,"urban junction changes to truck/road view; possible moving-camera transition"
25,04128,04129,0.186437905,same_scene_motion,"both frames remain in the same school/building and parking context"
26,02119,02120,0.186090685,uncertain_motion,"urban flyover view changes to nearby construction/road view"
27,01300,01301,0.185548294,boundary_high_confidence,"night pedestrian/road context changes to daytime autumn woodland"
28,00385,00386,0.182804558,boundary_high_confidence,"waterside landscape changes to traffic/park context"
29,04111,04112,0.182189539,boundary_high_confidence,"indoor pedestrian scene changes to outdoor school/building scene"
30,01266,01267,0.182173658,boundary_high_confidence,"traffic-road scene changes to a different dark park/road context"
31,00708,00709,0.181647152,boundary_high_confidence,"mountain road changes to waterside/field context"
32,02738,02739,0.180623636,same_scene_motion,"same residential high-rise road with viewpoint and traffic displacement"
33,02938,02939,0.179104254,uncertain_motion,"urban road changes to a gate/residential view that may be nearby"
34,02889,02890,0.175399423,uncertain_motion,"urban entrance and roadside building may belong to one route"
35,02739,02740,0.174244277,same_scene_motion,"consecutive views remain in the same high-rise neighborhood"
36,00742,00743,0.173518069,boundary_high_confidence,"rough vegetation/ground scene changes to landscaped urban steps"
37,03541,03542,0.173262760,same_scene_motion,"same elevated-road context with viewpoint change"
38,03533,03534,0.172261938,same_scene_motion,"same elevated-road corridor and roadside buildings"
39,03562,03563,0.171676427,same_scene_motion,"same elevated-road corridor with moving traffic/camera"
40,01267,01268,0.169276517,uncertain_motion,"two dark road/park views require adjacent context to decide continuity"
