rank,before,after,score,review_label,review_reason
1,01443,01444,0.302812949,boundary_high_confidence,"woodland/pond-like thermal scene changes to illuminated urban park"
2,03854,03855,0.283093907,boundary_high_confidence,"building-road view changes to a grouped pedestrian scene and day/night appearance changes"
3,01493,01494,0.271591321,boundary_high_confidence,"building/woodland scene changes to pedestrian-in-trees scene"
4,02778,02779,0.268649019,boundary_high_confidence,"road/tunnel-like scene changes to corridor/residential-road scene"
5,03029,03030,0.231016248,uncertain_motion,"truck-dominated road changes to an urban road; could be a driving-sequence transition"
6,00323,00324,0.230944760,boundary_high_confidence,"dark mountain/isolated-road scene changes to a different road and weather context"
7,04102,04103,0.229913309,boundary_high_confidence,"outdoor building scene changes to indoor pedestrian scene"
8,00341,00342,0.222493410,boundary_high_confidence,"night road changes to foggy field/vegetation context"
9,02694,02695,0.214400649,uncertain_motion,"tunnel-truck scene changes to open highway; could be continuous driving"
10,01334,01335,0.209432870,boundary_high_confidence,"woodland pedestrian scene changes to lakeside/open-water scene"
11,00969,00970,0.209219553,uncertain_motion,"mountain/water pedestrian views may belong to one location despite large framing change"
12,04154,04155,0.205055155,boundary_high_confidence,"school/building scene changes to close bus scene"
13,03692,03693,0.202238791,uncertain_motion,"commercial road/storefront views are compatible with one moving-camera sequence"
14,03688,03689,0.200764798,same_scene_motion,"both frames show the same congested urban road and bus context"
15,02715,02716,0.200035177,same_scene_motion,"both frames are compatible with one urban driving sequence"
16,02840,02841,0.198211692,uncertain_motion,"residential building and pedestrian/building views may be nearby parts of one scene"
17,03720,03721,0.198013119,same_scene_motion,"same high-rise road context with traffic/pedestrian displacement"
18,02909,02910,0.197817944,same_scene_motion,"same urban road context; transition is consistent with vehicle/camera motion"
19,02918,02919,0.195960425,same_scene_motion,"same urban neighborhood with viewpoint and traffic change"
20,03591,03592,0.195322715,same_scene_motion,"same commercial street/storefront sequence with camera motion"
